Date,Symbol,Open,High,Low,Close,Adj Close,Volume
21-02-2019,TATAMOTORS,165.6,170.6,165.1,169.7,168.15,14811723
22-02-2019,TATAMOTORS,170.0,175.3,167.85,174.3,171.72,13011477
25-02-2019,TATAMOTORS,175.15,177.5,173.5,175.75,175.23,15554532
26-02-2019,TATAMOTORS,173.0,183.45,172.5,182.65,180.05,31859427
27-02-2019,TATAMOTORS,183.55,186.1,176.1,177.35,180.48,19723906
28-02-2019,TATAMOTORS,180.0,181.55,176.6,177.45,179.06,18692372
01-03-2019,TATAMOTORS,178.65,184.0,177.35,180.3,180.45,20539919
05-03-2019,TATAMOTORS,183.8,198.35,181.4,194.05,192.19,58138551
06-03-2019,TATAMOTORS,195.4,195.4,187.75,188.8,190.86,22468702
07-03-2019,TATAMOTORS,191.4,193.45,187.8,189.3,190.37,27051501
08-03-2019,TATAMOTORS,187.8,187.95,180.0,181.2,183.15,28012914
11-03-2019,TATAMOTORS,182.0,184.6,181.05,181.85,182.3,25669662
12-03-2019,TATAMOTORS,184.4,186.0,183.55,184.8,184.93,18657724
13-03-2019,TATAMOTORS,184.45,184.9,180.4,181.7,182.05,9769821
14-03-2019,TATAMOTORS,181.5,182.45,177.65,179.55,180.1,15737080
15-03-2019,TATAMOTORS,180.2,181.4,177.6,180.0,179.4,17490993
18-03-2019,TATAMOTORS,181.0,184.7,179.5,182.25,182.82,14690339
19-03-2019,TATAMOTORS,182.0,184.5,180.75,182.85,182.57,10318028
20-03-2019,TATAMOTORS,183.0,183.45,179.6,180.2,181.31,7543753
22-03-2019,TATAMOTORS,181.95,182.0,174.9,175.4,178.13,11505994
25-03-2019,TATAMOTORS,173.7,173.8,170.55,171.3,172.2,11864723
26-03-2019,TATAMOTORS,171.9,173.6,171.6,173.1,172.48,7820112
27-03-2019,TATAMOTORS,174.0,175.0,169.15,169.85,171.96,10047628
28-03-2019,TATAMOTORS,169.0,171.4,167.55,170.55,169.93,13203927
29-03-2019,TATAMOTORS,171.15,177.05,171.0,174.25,174.87,17780440
01-04-2019,TATAMOTORS,176.35,189.75,176.35,187.35,185.06,46389181
02-04-2019,TATAMOTORS,188.05,204.4,185.3,202.95,197.22,100834335
03-04-2019,TATAMOTORS,205.0,208.95,199.2,201.35,204.7,81779620
04-04-2019,TATAMOTORS,201.85,206.9,201.05,206.15,204.35,41268908
05-04-2019,TATAMOTORS,208.0,209.5,202.3,205.15,205.24,32057373
08-04-2019,TATAMOTORS,206.0,207.4,198.8,200.55,202.8,23877595
09-04-2019,TATAMOTORS,200.0,207.6,198.15,205.9,203.68,29611268
10-04-2019,TATAMOTORS,206.0,217.4,205.6,216.05,213.58,69349488
11-04-2019,TATAMOTORS,216.6,219.2,213.3,218.2,216.66,41859862
12-04-2019,TATAMOTORS,218.95,219.0,215.0,215.95,216.29,21788548
15-04-2019,TATAMOTORS,217.15,233.25,217.15,231.75,227.85,57283251
16-04-2019,TATAMOTORS,233.8,234.1,225.65,230.5,229.64,41653657
18-04-2019,TATAMOTORS,231.9,239.3,230.6,236.25,236.43,42451178
22-04-2019,TATAMOTORS,235.0,239.35,231.7,234.85,235.72,30282217
23-04-2019,TATAMOTORS,235.0,235.85,230.25,231.65,233.63,18975358
24-04-2019,TATAMOTORS,231.65,232.95,217.6,223.6,221.97,50317411
25-04-2019,TATAMOTORS,223.4,225.9,220.25,221.85,222.66,27132908
26-04-2019,TATAMOTORS,221.9,221.9,214.0,215.6,216.99,26038093
30-04-2019,TATAMOTORS,216.2,218.65,210.3,214.3,213.34,21289116
02-05-2019,TATAMOTORS,211.0,212.65,206.5,207.3,209.34,21986007
03-05-2019,TATAMOTORS,205.0,213.65,203.05,209.45,210.42,37153857
06-05-2019,TATAMOTORS,204.0,204.5,198.0,199.8,200.26,30117667
07-05-2019,TATAMOTORS,201.7,202.85,189.35,190.95,196.51,30516908
08-05-2019,TATAMOTORS,190.0,190.9,183.8,185.1,187.16,28443735
09-05-2019,TATAMOTORS,184.3,189.8,182.3,186.35,186.1,32841616
10-05-2019,TATAMOTORS,187.0,190.6,184.3,185.9,187.54,28910719
13-05-2019,TATAMOTORS,186.2,187.15,179.6,180.75,183.68,15373536
14-05-2019,TATAMOTORS,178.25,186.05,177.8,184.5,182.3,21412933
15-05-2019,TATAMOTORS,185.55,185.95,167.4,169.45,175.18,31427815
16-05-2019,TATAMOTORS,176.0,177.55,172.8,175.4,174.86,30308248
17-05-2019,TATAMOTORS,174.95,177.7,170.2,176.85,174.06,21575989
20-05-2019,TATAMOTORS,181.45,192.0,179.25,190.15,186.02,29873588
21-05-2019,TATAMOTORS,185.25,186.9,174.05,176.8,179.38,57822527
22-05-2019,TATAMOTORS,177.6,180.4,174.8,179.1,177.76,25845734
23-05-2019,TATAMOTORS,182.85,182.85,173.5,175.15,178.72,22912106
24-05-2019,TATAMOTORS,177.0,183.5,175.35,182.3,179.93,22494409
27-05-2019,TATAMOTORS,181.75,183.5,179.3,181.35,181.44,14774311
28-05-2019,TATAMOTORS,181.35,185.3,179.8,180.25,182.08,23272915
29-05-2019,TATAMOTORS,179.85,180.0,175.35,176.35,176.89,15222008
30-05-2019,TATAMOTORS,177.5,178.5,173.1,175.15,175.47,18078726
31-05-2019,TATAMOTORS,177.8,177.85,170.0,172.6,173.13,21488115
03-06-2019,TATAMOTORS,170.5,175.0,168.4,174.5,172.8,21288078
04-06-2019,TATAMOTORS,174.25,177.2,172.4,173.25,173.94,17428731
06-06-2019,TATAMOTORS,174.05,175.85,168.85,169.7,172.06,16874819
07-06-2019,TATAMOTORS,169.9,171.7,167.25,169.5,169.75,14465703
10-06-2019,TATAMOTORS,170.9,172.05,163.55,166.2,166.98,20209862
11-06-2019,TATAMOTORS,166.85,171.9,165.65,170.75,169.32,20363493
12-06-2019,TATAMOTORS,170.9,172.2,168.1,169.05,169.98,12819208
13-06-2019,TATAMOTORS,166.9,168.9,164.5,167.4,166.56,15144315
14-06-2019,TATAMOTORS,167.5,167.5,163.5,164.2,165.48,10920508
17-06-2019,TATAMOTORS,163.75,164.15,158.0,158.75,160.84,14381813
18-06-2019,TATAMOTORS,159.0,161.0,156.75,158.3,159.07,14003043
19-06-2019,TATAMOTORS,160.0,163.75,152.5,154.65,156.49,25257018
