Date,Symbol,Open,High,Low,Close,Volume
2020-02-18,ADANIENT,251.65,251.65,245.25,249.45,2430446
2020-02-19,ADANIENT,250.0,255.5,249.9,254.0,2101729
2020-02-20,ADANIENT,253.2,261.0,252.65,258.65,3108173
2020-02-24,ADANIENT,254.8,255.85,244.1,247.25,3309214
2020-02-25,ADANIENT,249.8,251.75,242.4,246.45,3309962
2020-02-26,ADANIENT,244.0,246.3,241.0,242.8,2897390
2020-02-27,ADANIENT,241.45,241.45,232.05,234.15,3568055
2020-02-28,ADANIENT,221.0,226.8,217.0,218.65,3364181
2020-03-02,ADANIENT,223.0,226.7,216.15,218.6,3162614
2020-03-03,ADANIENT,221.0,228.65,219.25,225.75,2992170
2020-03-04,ADANIENT,226.1,227.0,213.55,221.1,5216787
2020-03-05,ADANIENT,223.75,226.85,219.35,221.75,3159080
2020-03-06,ADANIENT,215.1,216.75,207.5,214.75,4375226
2020-03-09,ADANIENT,207.0,208.5,197.25,199.7,2763989
2020-03-11,ADANIENT,197.4,205.0,192.25,195.75,3763191
2020-03-12,ADANIENT,180.1,183.9,160.45,162.15,4834390
2020-03-13,ADANIENT,145.95,161.35,129.75,148.75,7463676
2020-03-16,ADANIENT,141.0,142.3,128.65,134.7,6582849
2020-03-17,ADANIENT,135.7,142.55,130.5,133.4,6388062
2020-03-18,ADANIENT,135.9,137.0,127.1,130.2,4255688
2020-03-19,ADANIENT,121.0,132.95,118.2,128.9,5517080
2020-03-20,ADANIENT,138.0,141.6,128.7,137.7,4496401
2020-03-23,ADANIENT,123.05,135.0,118.2,120.9,1456143
2020-03-24,ADANIENT,125.0,132.95,116.4,130.35,5125923
2020-03-25,ADANIENT,126.0,134.9,125.0,132.3,2771318
2020-03-26,ADANIENT,135.0,152.0,132.05,140.25,7980255
2020-03-27,ADANIENT,146.0,151.0,126.25,128.0,4378366
2020-03-30,ADANIENT,124.0,129.8,121.0,128.7,2397602
2020-03-31,ADANIENT,131.7,138.45,129.45,137.6,2200227
2020-04-01,ADANIENT,138.95,138.95,131.8,133.95,1997608
2020-04-03,ADANIENT,134.0,134.6,128.0,129.05,1761947
2020-04-07,ADANIENT,131.0,141.5,131.0,138.15,2463525
2020-04-08,ADANIENT,136.85,147.15,134.9,138.1,3237290
2020-04-09,ADANIENT,140.0,146.25,140.0,142.45,2359528
2020-04-13,ADANIENT,142.0,149.0,136.55,146.0,2204560
2020-04-15,ADANIENT,148.05,150.95,143.2,145.25,3413518
2020-04-16,ADANIENT,142.0,144.85,140.55,143.3,2685695
2020-04-17,ADANIENT,146.95,148.55,141.55,143.9,2384033
2020-04-20,ADANIENT,146.0,155.45,142.6,146.7,6835268
2020-04-21,ADANIENT,143.0,143.0,134.15,135.95,3576178
